"REF_DATE","GEO","DGUID","Rank","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Canada","2021A000011124","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475654","1.1.3.2","42.9","","","","1"
"2023/2024","Canada","2021A000011124","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475654","1.1.3.2","43.5","","","","1"
"2019/2020","Canada","2021A000011124","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475747","1.2.1.2","100.0","","","","1"
"2020/2021","Canada","2021A000011124","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475747","1.2.1.2","100.0","","","","1"
"2021/2022","Canada","2021A000011124","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475747","1.2.1.2","100.0","","","","1"
"2022/2023","Canada","2021A000011124","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475747","1.2.1.2","100.0","","","","1"
"2023/2024","Canada","2021A000011124","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475747","1.2.1.2","100.0","","","","1"
"2019/2020","Canada","2021A000011124","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475750","1.2.2.2","70.1","","","","1"
"2020/2021","Canada","2021A000011124","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475750","1.2.2.2","69.1","","","","1"
"2021/2022","Canada","2021A000011124","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475750","1.2.2.2","68.5","","","","1"
"2022/2023","Canada","2021A000011124","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475750","1.2.2.2","67.7","","","","1"
"2023/2024","Canada","2021A000011124","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475750","1.2.2.2","67.0","","","","1"
"2019/2020","Canada","2021A000011124","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475753","1.2.3.2","29.9","","","","1"
"2020/2021","Canada","2021A000011124","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475753","1.2.3.2","30.9","","","","1"
"2021/2022","Canada","2021A000011124","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475753","1.2.3.2","31.5","","","","1"
"2022/2023","Canada","2021A000011124","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475753","1.2.3.2","32.3","","","","1"
"2023/2024","Canada","2021A000011124","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475753","1.2.3.2","33.0","","","","1"
"2019/2020","Canada","2021A000011124","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475846","1.3.1.2","100.0","","","","1"
"2020/2021","Canada","2021A000011124","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475846","1.3.1.2","100.0","","","","1"
"2021/2022","Canada","2021A000011124","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475846","1.3.1.2","100.0","","","","1"
"2022/2023","Canada","2021A000011124","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475846","1.3.1.2","100.0","","","","1"
"2023/2024","Canada","2021A000011124","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475846","1.3.1.2","100.0","","","","1"
"2019/2020","Canada","2021A000011124","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475849","1.3.2.2","56.1","","","","1"
"2020/2021","Canada","2021A000011124","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475849","1.3.2.2","55.6","","","","1"
"2021/2022","Canada","2021A000011124","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475849","1.3.2.2","55.7","","","","1"
"2022/2023","Canada","2021A000011124","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475849","1.3.2.2","55.8","","","","1"
"2023/2024","Canada","2021A000011124","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475849","1.3.2.2","55.3","","","","1"
"2019/2020","Canada","2021A000011124","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475852","1.3.3.2","43.9","","","","1"
"2020/2021","Canada","2021A000011124","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475852","1.3.3.2","44.4","","","","1"
"2021/2022","Canada","2021A000011124","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475852","1.3.3.2","44.3","","","","1"
"2022/2023","Canada","2021A000011124","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475852","1.3.3.2","44.2","","","","1"
"2023/2024","Canada","2021A000011124","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475852","1.3.3.2","44.7","","","","1"
"2019/2020","Canada","2021A000011124","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475945","1.4.1.2","100.0","","","","1"
"2020/2021","Canada","2021A000011124","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475945","1.4.1.2","100.0","","","","1"
"2021/2022","Canada","2021A000011124","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475945","1.4.1.2","100.0","","","","1"
"2022/2023","Canada","2021A000011124","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475945","1.4.1.2","100.0","","","","1"
"2023/2024","Canada","2021A000011124","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475945","1.4.1.2","100.0","","","","1"
"2019/2020","Canada","2021A000011124","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475948","1.4.2.2","49.9","","","","1"
"2020/2021","Canada","2021A000011124","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475948","1.4.2.2","49.4","","","","1"
"2021/2022","Canada","2021A000011124","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475948","1.4.2.2","48.6","","","","1"
"2022/2023","Canada","2021A000011124","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475948","1.4.2.2","46.6","","","","1"
"2023/2024","Canada","2021A000011124","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475948","1.4.2.2","46.5","","","","1"
"2019/2020","Canada","2021A000011124","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475951","1.4.3.2","50.1","","","","1"
"2020/2021","Canada","2021A000011124","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475951","1.4.3.2","50.6","","","","1"
"2021/2022","Canada","2021A000011124","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475951","1.4.3.2","51.4","","","","1"
"2022/2023","Canada","2021A000011124","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475951","1.4.3.2","53.4","","","","1"
"2023/2024","Canada","2021A000011124","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475951","1.4.3.2","53.5","","","","1"
"2019/2020","Canada","2021A000011124","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476044","1.5.1.2","100.0","","","","1"
"2020/2021","Canada","2021A000011124","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476044","1.5.1.2","100.0","","","","1"
"2021/2022","Canada","2021A000011124","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476044","1.5.1.2","100.0","","","","1"
"2022/2023","Canada","2021A000011124","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476044","1.5.1.2","100.0","","","","1"
"2023/2024","Canada","2021A000011124","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476044","1.5.1.2","100.0","","","","1"
"2019/2020","Canada","2021A000011124","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476047","1.5.2.2","45.0","","","","1"
"2020/2021","Canada","2021A000011124","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476047","1.5.2.2","44.3","","","","1"
"2021/2022","Canada","2021A000011124","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476047","1.5.2.2","44.6","","","","1"
"2022/2023","Canada","2021A000011124","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476047","1.5.2.2","44.1","","","","1"
"2023/2024","Canada","2021A000011124","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476047","1.5.2.2","44.0","","","","1"
"2019/2020","Canada","2021A000011124","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476050","1.5.3.2","55.0","","","","1"
"2020/2021","Canada","2021A000011124","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476050","1.5.3.2","55.7","","","","1"
"2021/2022","Canada","2021A000011124","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476050","1.5.3.2","55.4","","","","1"
"2022/2023","Canada","2021A000011124","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476050","1.5.3.2","55.9","","","","1"
"2023/2024","Canada","2021A000011124","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476050","1.5.3.2","56.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475657","2.1.1.2","100.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475657","2.1.1.2","100.0","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475657","2.1.1.2","100.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475657","2.1.1.2","100.0","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475657","2.1.1.2","100.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475660","2.1.2.2","56.9","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475660","2.1.2.2","56.6","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475660","2.1.2.2","56.7","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475660","2.1.2.2","56.9","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475660","2.1.2.2","57.1","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475663","2.1.3.2","43.1","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475663","2.1.3.2","43.4","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475663","2.1.3.2","43.3","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475663","2.1.3.2","43.1","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475663","2.1.3.2","42.9","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475756","2.2.1.2","100.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475756","2.2.1.2","100.0","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475756","2.2.1.2","100.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475756","2.2.1.2","100.0","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475756","2.2.1.2","100.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475759","2.2.2.2","68.4","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475759","2.2.2.2","67.2","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475759","2.2.2.2","66.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475759","2.2.2.2","67.1","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Full professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475759","2.2.2.2","67.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475762","2.2.3.2","31.6","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475762","2.2.3.2","32.8","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475762","2.2.3.2","34.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475762","2.2.3.2","32.9","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Full professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475762","2.2.3.2","33.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475855","2.3.1.2","100.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475855","2.3.1.2","100.0","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475855","2.3.1.2","100.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475855","2.3.1.2","100.0","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Associate professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475855","2.3.1.2","100.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475858","2.3.2.2","54.6","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475858","2.3.2.2","55.6","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475858","2.3.2.2","55.6","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475858","2.3.2.2","55.9","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Associate professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475858","2.3.2.2","54.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475861","2.3.3.2","45.4","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475861","2.3.3.2","44.4","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475861","2.3.3.2","44.4","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475861","2.3.3.2","44.1","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Associate professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475861","2.3.3.2","46.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475954","2.4.1.2","100.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475954","2.4.1.2","100.0","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475954","2.4.1.2","100.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475954","2.4.1.2","100.0","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Assistant professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475954","2.4.1.2","100.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475957","2.4.2.2","49.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475957","2.4.2.2","46.5","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475957","2.4.2.2","46.6","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475957","2.4.2.2","44.8","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Assistant professor","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475957","2.4.2.2","47.6","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475960","2.4.3.2","51.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475960","2.4.3.2","53.5","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475960","2.4.3.2","53.4","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475960","2.4.3.2","55.2","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Assistant professor","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475960","2.4.3.2","52.4","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476053","2.5.1.2","100.0","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476053","2.5.1.2","100.0","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476053","2.5.1.2","100.0","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476053","2.5.1.2","100.0","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Other ranks","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476053","2.5.1.2","100.0","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476056","2.5.2.2","48.9","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476056","2.5.2.2","42.1","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476056","2.5.2.2","42.9","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476056","2.5.2.2","41.2","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Other ranks","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476056","2.5.2.2","46.4","","","","1"
"2019/2020","Newfoundland and Labrador","2021A000210","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476059","2.5.3.2","51.1","","","","1"
"2020/2021","Newfoundland and Labrador","2021A000210","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476059","2.5.3.2","57.9","","","","1"
"2021/2022","Newfoundland and Labrador","2021A000210","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476059","2.5.3.2","57.1","","","","1"
"2022/2023","Newfoundland and Labrador","2021A000210","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476059","2.5.3.2","58.8","","","","1"
"2023/2024","Newfoundland and Labrador","2021A000210","Other ranks","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275476059","2.5.3.2","53.6","","","","1"
"2019/2020","Prince Edward Island","2021A000211","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475666","3.1.1.2","100.0","","","","1"
"2020/2021","Prince Edward Island","2021A000211","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475666","3.1.1.2","100.0","","","","1"
"2021/2022","Prince Edward Island","2021A000211","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475666","3.1.1.2","100.0","","","","1"
"2022/2023","Prince Edward Island","2021A000211","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475666","3.1.1.2","100.0","","","","1"
"2023/2024","Prince Edward Island","2021A000211","Total rank","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475666","3.1.1.2","100.0","","","","1"
"2019/2020","Prince Edward Island","2021A000211","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475669","3.1.2.2","59.1","","","","1"
"2020/2021","Prince Edward Island","2021A000211","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475669","3.1.2.2","53.9","","","","1"
"2021/2022","Prince Edward Island","2021A000211","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475669","3.1.2.2","53.0","","","","1"
"2022/2023","Prince Edward Island","2021A000211","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475669","3.1.2.2","51.8","","","","1"
"2023/2024","Prince Edward Island","2021A000211","Total rank","Man","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475669","3.1.2.2","50.4","","","","1"
"2019/2020","Prince Edward Island","2021A000211","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475672","3.1.3.2","40.9","","","","1"
"2020/2021","Prince Edward Island","2021A000211","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475672","3.1.3.2","46.1","","","","1"
"2021/2022","Prince Edward Island","2021A000211","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475672","3.1.3.2","47.0","","","","1"
"2022/2023","Prince Edward Island","2021A000211","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475672","3.1.3.2","48.2","","","","1"
"2023/2024","Prince Edward Island","2021A000211","Total rank","Woman","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475672","3.1.3.2","49.6","","","","1"
"2019/2020","Prince Edward Island","2021A000211","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475765","3.2.1.2","100.0","","","","1"
"2020/2021","Prince Edward Island","2021A000211","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475765","3.2.1.2","100.0","","","","1"
"2021/2022","Prince Edward Island","2021A000211","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475765","3.2.1.2","100.0","","","","1"
"2022/2023","Prince Edward Island","2021A000211","Full professor","Total gender","Proportion of full-time academic staff by gender","Percent","239","units","0","v1275475765","3.2.1.2","100.0","","","","1"
